street	year	floor	area	date	amount
Багратиона	2018	12	40.1	2025-10-01	5900000.0
Шашковой	1980	1	46.8	2025-10-01	450000.0
Архитекторов	2011	9	62.4	2025-10-01	8000000.0
Ленина	1989	2	77.9	2025-10-01	4800000.0
Комсомольский	1960	3	30.3	2025-10-01	2700000.0
Взлетная	2022	8	39	2025-10-01	5850000.0
Химиков	1967	1	30.8	2025-10-01	2900000.0
Дианова	1984	1	52.1	2025-10-01	5100000.0
Моторная	1982	5	57.7	2025-10-01	5100000.0
Мельничная	1981	5	105.5	2025-10-01	9700000.0
Куломзинская	1983	1	57.9	2025-10-01	7000000.0
Пирогова	1967	2	30.2	2025-10-01	2300000.0
Амурский 1-й	2018	7	125.80000000000001	2025-10-01	13200000.0
Мельничная	2013	2	44	2025-10-01	4600000.0
Ленина	1988	2	46.1	2025-10-01	1400000.0
Шебалдина	2008	8	52.1	2025-10-01	6600000.0
Верхнеднепровская	2016	3	33.4	2025-10-01	2740000.0
Центральная	1981	1	21.2	2025-10-01	100000.0
2-я Железнодорожная	1989	9	37.4	2025-10-01	3770000.0
Мельничная	1962	2	42.6	2025-10-01	3100000.0
Труда	1972	5	44.6	2025-10-01	3660000.0
Ватутина	1974	5	80.6	2025-10-01	7450000.0
22 Апреля	1981	5	43.4	2025-10-01	4500000.0
Омская	1985	3	50.5	2025-10-01	7000000.0
Молодогвардейская	1968	4	83.5	2025-10-01	6150000.0
Чернышевского	2021	16	63.2	2025-10-01	9200000.0
Декабристов	1974	4	17.6	2025-10-01	1100000.0
Лермонтова	1978	3	61.2	2025-10-01	5750000.0
Линия 6-я	1967	2	31.6	2025-10-01	3350000.0
1-я Затонская			534	2025-10-01	99788800
Ватутина	1979	9	64.3	2025-10-01	7100000.0
Волочаевская	1972	4	170.7	2025-10-01	18020000.0
Багратиона	1964	3	29.5	2025-10-01	2400000.0
Челюскинцев 1-я	2011	7	36.7	2025-10-01	3800000.0
20 лет РККА	1941	1	68.7	2025-10-01	1000000.0
Вокзальная	2025	5	197.6	2025-10-01	26419000.0
Ступникова	1966	1	30.2	2025-10-01	900000.0
Волгоградская	1977	5	100.1	2025-10-01	9520000.0
Архитекторов	1984	7	52.4	2025-10-01	5700000.0
Космический	1992	9	62.4	2025-10-01	5050000.0
Комарова	1988	1	53.2	2025-10-01	5700000.0
Ю.М.Нагибина	2024	2	195.6	2025-10-01	22400000
1-й Красной Звезды	2021	4	36.4	2025-10-01	2000000.0
Поселковая 2-я	2015	1	33.4	2025-10-01	3980000.0
Архиепископа Сильвестра	2018	6	37.7	2025-10-01	5700000.0
Дианова	2009	4	111.9	2025-10-01	13100000.0
Моторная	1980	4	48.5	2025-10-01	4250000.0
Челюскинцев 4-я	1964	2	30.3	2025-10-01	3250000.0
Рабочая	1988	1	43.5	2025-10-01	160000.0
22 Партсъезда	1967	3	18.1	2025-10-01	1580000.0
Архитекторов	1984	2	62.4	2025-10-01	6550000.0
Северная 9-я	2015	4	55.7	2025-10-01	8000000.0
Молодова	1982	4	30	2025-10-01	2600000.0
Багратиона	1993	5	50.5	2025-10-01	4900000.0
10 лет Октября	1981	2	46.2	2025-10-01	2600000.0
Моторная	1980	3	60.3	2025-10-01	4500000.0
Иртышская Набережная	1962	5	44.6	2025-10-01	5400000.0
Магистральная	1961	4	9	2025-10-01	870000.0
Титова	1976	1	34.5	2025-10-01	500000.0
Любинская 3-я	2015	4	36.2	2025-10-01	4000000.0
Транспортная 4-я	1972	1	44.5	2025-10-01	4430000.0
Любинская 3-я	2015	2	36.2	2025-10-01	3600000.0
Леонида Маслова	2024	16	96.69999999999999	2025-10-01	11960000.0
Добровольского	1973	3	61.9	2025-10-01	2000000.0
Академика Павлова	1959	1	59.6	2025-10-01	4500000.0
Лермонтова	1978	8	61	2025-10-01	6150000.0
Сулеймана Стальского	1976	4	123.80000000000001	2025-10-01	11340000.0
24-я Северная	2022	13	39.9	2025-10-01	1590000.0
	1972	1	29.1	2025-10-01	1600000.0
Красный Путь	1961	5	58.1	2025-10-01	4350000.0
Военный 14-й	1966	1	37.4	2025-10-01	3770000.0
Школьный	2016	5	31.7	2025-10-01	3880000.0
	1971	5	29.8	2025-10-01	2430000.0
В.Ф.Маргелова	1991	2	46.3	2025-10-01	4100000.0
Володарского	1979	1	48.8	2025-10-01	3200000.0
Энтузиастов	1967	1	86.4	2025-10-01	8690000.0
4-я Транспортная	1974	8	45.4	2025-10-01	2250000.0
Перелета	2005	1	34.9	2025-10-01	4600000.0
Комсомольская	1974	1	31.7	2025-10-01	650000.0
1-й Башенный	1998	4	63	2025-10-01	6400000.0
15 Съезда ВЛКСМ	1982	1	72.5	2025-10-01	4000000.0
Серова	1971	7	47.4	2025-10-01	4280000.0
Заозерная	1973	6	60.2	2025-10-01	6200000.0
Гусарова	1941	3	67.6	2025-10-01	6700000.0
Фрезерная	2006	9	150.4	2025-10-01	13770000.0
Северная 24-я	1990	5	29.8	2025-10-01	2600000.0
	1984	5	48.5	2025-10-01	4000000.0
Промышленная 1-я	1968	5	30.2	2025-10-01	3100000.0
Сергея Тюленина	1989	6	60.4	2025-10-01	6800000.0
Бородина	1974	1	29.6	2025-10-01	3100000.0
Красной Звезды 1-я	2016	2	149.3	2025-10-01	14890000.0
Амурская 21-я	2014	2	54.9	2025-10-01	6499000.0
Чередовая 11-я	1980	4	34	2025-10-01	2060000.0
Светлая	1968	4	100.2	2025-10-01	4330000.0
Яснополянский	2025	2	70.5	2025-10-01	10045500.0
Ленинградская	1963	5	42.5	2025-10-01	6100000.0
Пушкина	1982	1	46.3	2025-10-01	2000000.0
Бородина	1985	8	10.3	2025-10-01	500000.0
Мира	1962	2	50.49999999999999	2025-10-01	4860000.0
Красной Звезды 1-я	2016	6	43	2025-10-01	4600000.0
Степанца	1993	3	63.1	2025-10-01	7100000.0
Дмитриева	1991	7	77.2	2025-10-01	7800000.0
Менделеева	1985	1	74.1	2025-10-01	7500000.0
Енисейская 3-я	2018	12	64.1	2025-10-01	10000000
Кордная 5-я	1978	1	115.7	2025-10-01	9100000.0
5 Армии	1988	1	78.1	2025-10-01	5100000.0
Завертяева	2008	6	67	2025-10-01	6780000.0
Рокоссовского	2009	2	36.8	2025-10-01	4500000.0
1-й	1985	1	79.1	2025-10-01	420000.0
Лермонтова	2004	1	309.1	2025-10-01	18000000
Звездная	1979	1	17.4	2025-10-01	1840000.0
50 лет СССР	1975	1	69	2025-10-01	450000.0
3-я Железнодорожная	1978	4	10	2025-10-01	730000.0
Гагарина	1962	1	62.3	2025-10-01	1900000.0
Профинтерна	1982	4	44.3	2025-10-01	4530000.0
Дмитриева	1995	8	53.5	2025-10-01	6000000.0
Ключевой	2012	1	51.4	2025-10-01	2000000.0
10 лет Октября	2014	9	230.4	2025-10-01	17750000.0
МОПРА	1972	2	40.7	2025-10-01	1950000.0
27-я Северная	1974	3	45.2	2025-10-01	3300000.0
Заводская	1986	1	89.6	2025-10-01	422067.0
Королева	2024	18	44.9	2025-10-01	4800000.0
Военный 16-й	1983	2	30.8	2025-10-01	2850000.0
4-я Любинская	2022	5	42.8	2025-10-01	2250000.0
Заозерная	1970	3	61.4	2025-10-01	5600000.0
Маршала Жукова	2008	11	63.9	2025-10-01	8500000.0
Дианова	2010	3	84.2	2025-10-01	8790000.0
Фугенфирова	1975	3	68	2025-10-01	5250000.0
Железнодорожная 3-я		10	36.3	2025-10-01	3850000.0
Марьяновская 4-я	1985	2	38.5	2025-10-01	3050000.0
Бульварная	1965	3	40.7	2025-10-01	4050000.0
21-я Амурская	2021	5	37.1	2025-10-01	4050000.0
Омская	1980	8	37.8	2025-10-01	2700000.0
Олега Кошевого	1974	3	50.5	2025-10-01	4000000.0
Сергея Тюленина	1989	7	47	2025-10-01	5300000.0
14-й Военный	1975	3	48.6	2025-10-01	4100000.0
Звездова	2006	6	88	2025-10-01	8800000.0
Куйбышева	2016	5	56.6	2025-10-01	8200000.0
Верхнеднепровская	2014	2	54	2025-10-01	4450000.0
Комарова	2007	6	42.6	2025-10-01	5430000.0
Худенко	1985	4	18.6	2025-10-01	1900000.0
